timestamp_ns,pid,prev_pid,cpu,duration_ns,state,comm,kernel_stack,user_stack,next_pid,next_comm
38344209806776,431800,431793,5,14680052,0,b'stress-ng-aio',,,0,b''
38344210077390,431794,431795,5,567672,0,b'stress-ng-aio',,,0,b''
38344301358718,431805,431800,5,61823,0,b'stress-ng-aio',,,0,b''
38344301685579,431805,431807,5,561606,0,b'stress-ng-aio',,,0,b''
38344418456898,431786,431796,5,208221737,0,b'stress-ng-aio',,,0,b''
38344418596830,431789,431796,5,139932,0,b'stress-ng-aio',,,0,b''
38344418704535,431792,431797,5,174827,0,b'stress-ng-aio',,,0,b''
38344209729690,431801,431789,1,60485,0,b'stress-ng-aio',,,0,b''
38344209882693,431791,431793,1,75917,0,b'stress-ng-aio',,,0,b''
38344209930536,431796,431791,1,14822347,0,b'stress-ng-aio',,,0,b''
38344209960793,431794,431796,1,131367301,0,b'stress-ng-aio',,,0,b''
38344301254111,431791,431809,2,38657,0,b'stress-ng-aio',,,0,b''
38344301276811,431788,431791,2,91067152,0,b'stress-ng-aio',,,0,b''
38344301566105,431787,431806,2,222504523,0,b'stress-ng-aio',,,0,b''
38344418491372,431797,431802,2,208531198,0,b'stress-ng-aio',,,0,b''
38344418529708,431786,431797,2,208438768,0,b'stress-ng-aio',,,0,b''
38344418476370,431792,431789,3,208132986,0,b'stress-ng-aio',,,0,b''
38344418613817,431794,431790,3,117011844,0,b'stress-ng-aio',,,0,b''
38344497886313,431807,431795,3,195982692,0,b'stress-ng-aio',,,0,b''
38344498067275,431810,431788,3,196165224,0,b'stress-ng-aio',,,0,b''
38344577228893,431794,431796,0,68281,0,b'stress-ng-aio',,,0,b''
38344576980663,431789,431802,2,158233814,0,b'stress-ng-aio',,,0,b''
38344577131055,431789,431799,3,51635,0,b'stress-ng-aio',,,0,b''
38344577231189,431799,431789,4,77455,0,b'stress-ng-aio',,,0,b''
38344577143915,431796,431794,5,99995,0,b'stress-ng-aio',,,0,b''
38344577160612,431794,431796,5,116694,0,b'stress-ng-aio',,,0,b''
38344633631305,431803,431807,4,513129,0,b'stress-ng-aio',,,0,b''
38344633655932,431808,431803,4,545910,0,b'stress-ng-aio',,,0,b''
38344634056202,431793,431808,4,376603,0,b'stress-ng-aio',,,0,b''
38344633184478,431794,431799,2,55936309,0,b'stress-ng-aio',,,0,b''
38344633540742,431801,431809,2,79486126,0,b'stress-ng-aio',,,0,b''
38344633701060,431810,431793,2,68596,0,b'stress-ng-aio',,,0,b''
38344633722958,431787,431810,2,598000,0,b'stress-ng-aio',,,0,b''
38344633741738,431799,431787,2,629076,0,b'stress-ng-aio',,,0,b''
38344633762954,431810,431799,2,513724,0,b'stress-ng-aio',,,0,b''
38344633325760,431789,431798,3,79251910,0,b'stress-ng-aio',,,0,b''
38344633382377,431805,431798,3,56617,0,b'stress-ng-aio',,,0,b''
38344633632464,431809,431793,3,79555837,0,b'stress-ng-aio',,,0,b''
38344633855258,431805,431799,3,92304,0,b'stress-ng-aio',,,0,b''
38344633966223,431789,431802,3,429466,0,b'stress-ng-aio',,,0,b''
38344633536757,431808,431802,5,52397,0,b'stress-ng-aio',,,0,b''
38344633559647,431809,431808,5,81743009,0,b'stress-ng-aio',,,0,b''
38344633851287,431798,431795,5,89288,0,b'stress-ng-aio',,,0,b''
38344633868651,431788,431798,5,486274,0,b'stress-ng-aio',,,0,b''
38344633974701,431801,431788,5,84903,0,b'stress-ng-aio',,,0,b''
38344734796489,431794,431795,0,199012,0,b'stress-ng-aio',,,0,b''
38344734816851,431807,431794,0,50466,0,b'stress-ng-aio',,,0,b''
38344734909818,431792,431807,0,36119,0,b'stress-ng-aio',,,0,b''
38344734918756,431790,431803,1,451429,0,b'stress-ng-aio',,,0,b''
38344734667374,431791,431805,3,100793889,0,b'stress-ng-aio',,,0,b''
38344734766385,431802,431794,3,210227,0,b'stress-ng-aio',,,0,b''
38344735201481,431810,431805,3,478351,0,b'stress-ng-aio',,,0,b''
38344851648850,431789,431793,1,385663,0,b'stress-ng-aio',,,0,b''
38344851475538,431786,431788,2,188050,0,b'stress-ng-aio',,,0,b''
38344851505557,431801,431786,2,222148,0,b'stress-ng-aio',,,0,b''
38344851525240,431805,431801,2,262051,0,b'stress-ng-aio',,,0,b''
38344851663956,431809,431787,3,481759,0,b'stress-ng-aio',,,0,b''
38344956978354,431806,431797,0,584699,0,b'stress-ng-aio',,,0,b''
38344957099788,431797,431808,0,402516,0,b'stress-ng-aio',,,0,b''
38344957118095,431803,431797,0,77128,0,b'stress-ng-aio',,,0,b''
38344956750723,431802,431805,2,64111,0,b'stress-ng-aio',,,0,b''
38344956770996,431803,431802,2,44254,0,b'stress-ng-aio',,,0,b''
38344957222976,431807,431798,2,546224,0,b'stress-ng-aio',,,0,b''
38344956831430,431791,431802,5,60434,0,b'stress-ng-aio',,,0,b''
38344957133160,431808,431809,5,421139,0,b'stress-ng-aio',,,0,b''
38344957177681,431805,431809,5,44521,0,b'stress-ng-aio',,,0,b''
38344956766202,431810,431807,1,221856384,0,b'stress-ng-aio',,,0,b''
38344956807710,431807,431810,1,338027,0,b'stress-ng-aio',,,0,b''
38344956576841,431796,431792,3,60193,0,b'stress-ng-aio',,,0,b''
38344956600905,431808,431796,3,44932,0,b'stress-ng-aio',,,0,b''
38344956624524,431790,431808,3,105009784,0,b'stress-ng-aio',,,0,b''
38344956645000,431798,431790,3,104575948,0,b'stress-ng-aio',,,0,b''
38344956676752,431790,431798,3,88354,0,b'stress-ng-aio',,,0,b''
38344956656038,431805,431809,4,104572790,0,b'stress-ng-aio',,,0,b''
38344956686612,431809,431805,4,105141965,0,b'stress-ng-aio',,,0,b''
38345059810252,431797,431808,0,327612,0,b'stress-ng-aio',,,0,b''
38345059800943,431789,431795,1,76620,0,b'stress-ng-aio',,,0,b''
38345059904761,431793,431794,1,35358,0,b'stress-ng-aio',,,0,b''
38345059932963,431803,431793,1,515778,0,b'stress-ng-aio',,,0,b''
38345059810978,431801,431799,3,261813,0,b'stress-ng-aio',,,0,b''
38345059896949,431803,431787,3,39806,0,b'stress-ng-aio',,,0,b''
38345059713613,431801,431792,5,42226,0,b'stress-ng-aio',,,0,b''
38345156708204,431806,431809,1,52205,0,b'stress-ng-aio',,,0,b''
38345156850924,431787,431790,0,49113,0,b'stress-ng-aio',,,0,b''
38345156877551,431788,431787,0,525762,0,b'stress-ng-aio',,,0,b''
38345156895013,431790,431788,0,48240,0,b'stress-ng-aio',,,0,b''
38345156598195,431806,431810,2,37511,0,b'stress-ng-aio',,,0,b''
38345156616847,431792,431806,2,96530378,0,b'stress-ng-aio',,,0,b''
